"","2.5%","25%","50%","75%","97.5%","species"
"beta[4,9]",0.611475821352515,0.702237780680192,0.749795704799732,0.79869717197977,0.903343468071659,"POSE"
"beta[1,10]",0.608280168724874,0.708065299318414,0.759701129103506,0.810191393796633,0.899206809108176,"BOGR"
"beta[2,10]",0.715150554040586,0.815978646750841,0.863148539166536,0.90809103470296,0.999988572795258,"HECO"
"beta[3,10]",0.732501025748156,0.788431491302552,0.817477383989658,0.846874356124077,0.90355623899014,"PASM"
"beta[4,10]",0.445951131545034,0.603463614714057,0.665455050216384,0.720175439574663,0.815314220697794,"POSE"
"beta[1,11]",0.782153520652977,0.885903916371257,0.942690600137228,1.00421364732452,1.13321260645741,"BOGR"
"beta[2,11]",0.739093400414518,0.830420444238129,0.87591103158867,0.922330297608056,1.02115640915135,"HECO"
"beta[3,11]",0.736464133788644,0.797190097070319,0.82785270643311,0.8584400659753,0.916762797697585,"PASM"
"beta[4,11]",0.575300646810205,0.686453476956455,0.74068757316135,0.796792229218036,0.915208109173354,"POSE"
"beta[1,12]",0.71732106507173,0.829560828013352,0.886097698183758,0.942581183622272,1.06072374978952,"BOGR"
"beta[2,12]",0.748222615833411,0.839463511231158,0.885851010587124,0.933680406882947,1.04330248923373,"HECO"
"beta[3,12]",0.771711249137054,0.833373582136989,0.866077002996518,0.899606305208878,0.966791672939936,"PASM"
"beta[4,12]",0.575406311368421,0.686406494260774,0.738942062327063,0.791456207231371,0.904640349231974,"POSE"
"beta[1,13]",0.721675820446873,0.843918931374771,0.904549872697389,0.969227908336768,1.10774500936741,"BOGR"
"beta[2,13]",0.76556413779196,0.852507243275219,0.899270123732677,0.949596427365746,1.07141078905651,"HECO"
"beta[3,13]",0.775471496443083,0.838571935940354,0.872854155231701,0.907908829351553,0.98293804355798,"PASM"
"beta[4,13]",0.540476572273681,0.661820704395746,0.717794047271675,0.772986251667222,0.882863158137829,"POSE"
