"","Mean","SD","Naive SE","Time-series SE","species"
"beta[2,11]",24.9628736102942,8.13427084925684,0.210025970218081,2.59519157184705,"HECO"
"beta[3,11]",111.999306023385,15.4319510699956,0.398451263290539,1.71233283626388,"PASM"
"beta[4,11]",30.1210731727049,26.9471498122573,0.695772416337526,3.53935086759126,"POSE"
"beta[1,12]",7.93997088609495,0.730710361257496,0.0188668604003433,0.0482007105233322,"BOGR"
"beta[2,12]",33.1271397806125,15.9770831169088,0.412526512218396,3.26104187293721,"HECO"
"beta[3,12]",130.796471500303,19.67545093601,0.508017958695251,3.82782289755957,"PASM"
"beta[4,12]",45.843513555778,48.2173419082373,1.24496641472661,13.1130721613134,"POSE"
"beta[1,13]",7.53860227000016,0.681290668940408,0.0175908494315514,0.0560524245063206,"BOGR"
"beta[2,13]",31.8090678449819,14.0364279704639,0.362419011798977,3.44660592864773,"HECO"
"beta[3,13]",129.808688439915,19.9835078099727,0.515971952978867,4.00592148420345,"PASM"
"beta[4,13]",69.2471733727627,55.0231579634121,1.42069182965357,9.78023243292298,"POSE"
"betaSpp[1]",11.1490640563306,1.82601397291336,0.0471474780469033,0.0868018224143292,"BOGR"
"betaSpp[2]",32.9671605465529,16.6300779855684,0.429386767228247,3.58278937268048,"HECO"
"betaSpp[3]",143.379036062056,26.0157245606695,0.671723119753282,4.01754339736948,"PASM"
"betaSpp[4]",37.3126624957879,25.0649863387763,0.647175164419979,1.91055685972162,"POSE"
"intG[1,1]",-0.802922234412546,1.28783485732947,0.0332517530340163,0.080407667908128,"BOGR"
"intG[2,1]",-0.475722619522668,0.777392900397938,0.0200721983780073,0.305837223429323,"HECO"
"intG[3,1]",-5.25973860988941,0.762584413862828,0.0196898448997872,0.106599986201991,"PASM"
"intG[4,1]",-2.01348082091092,1.70198051328363,0.0439449478901136,0.290026046812345,"POSE"
"intG[1,2]",-0.875610157287545,1.28964553978895,0.0332985046540885,0.0778912958490092,"BOGR"
"intG[2,2]",-0.585415933631663,0.804303150855429,0.0207670180571015,0.316014927870676,"HECO"
"intG[3,2]",-5.64430383874037,0.764695594065335,0.0197443553382215,0.118612277310306,"PASM"
"intG[4,2]",-2.4617015813347,1.76496078450079,0.0455710915005383,0.289479613727951,"POSE"
"intG[1,3]",-0.743379773377126,1.28980835820846,0.0333027086076032,0.0898751642119217,"BOGR"
"intG[2,3]",-0.683854932873663,0.786403220749026,0.020304843849099,0.315029216626739,"HECO"
"intG[3,3]",-5.33516934687946,0.761001109701084,0.0196489641621177,0.101234774387977,"PASM"
"intG[4,3]",-1.82774940500873,1.69254203561324,0.0437012474445738,0.298787595228893,"POSE"
"intG[1,4]",-0.714505836480047,1.28294480225568,0.0331254923549309,0.0808348342790794,"BOGR"
"intG[2,4]",-0.642082747913076,0.789848161390609,0.0203937918339892,0.297724161664305,"HECO"
"intG[3,4]",-5.97676313987437,0.758113329155132,0.0195744019890379,0.0862460600230863,"PASM"
"intG[4,4]",-2.31533321640427,1.74830962964864,0.0451411605309549,0.309363362282787,"POSE"
"intG[1,5]",-1.21266882003055,1.30883167861258,0.0337938886283682,0.0715980136215101,"BOGR"
"intG[2,5]",-0.622146150336292,0.81904149357234,0.0211475604297235,0.291806353421696,"HECO"
"intG[3,5]",-5.16627242382332,0.766244096071548,0.0197843374880991,0.10050875714883,"PASM"
"intG[4,5]",-1.8747609921436,1.68588611964403,0.0435293924332238,0.269024256023279,"POSE"
"intG[1,6]",-0.91783214915211,1.28656545617747,0.0332189772372072,0.0940687830668579,"BOGR"
"intG[2,6]",-0.325283470282441,0.790304769732179,0.0204055814106734,0.283774838942446,"HECO"
"intG[3,6]",-5.2043929140414,0.760622430271851,0.0196391867012979,0.126903660461767,"PASM"
"intG[4,6]",-1.81001615214815,1.70319109801427,0.0439762050534532,0.287965521286025,"POSE"
"intYr[1,1]",-2.65134269066442,1.37223534802459,0.0354309643331758,0.0986042372669238,"BOGR"
"intYr[2,1]",-4.49623707337622,0.844153466261712,0.0217959487764992,0.296751025443305,"HECO"
"intYr[3,1]",-0.874249423074757,0.762545060520192,0.0196888288008495,0.0687837039236798,"PASM"
"intYr[4,1]",-3.52036408732983,1.82214406013476,0.047047557328618,0.241698693981237,"POSE"
"intYr[1,2]",-2.57493202869477,1.33187471095182,0.034388857165008,0.0763398223350386,"BOGR"
"intYr[2,2]",-4.57954204433026,0.857070861174846,0.0221294744789989,0.283057597625361,"HECO"
"intYr[3,2]",-0.795090694551031,0.765331913799627,0.0197607850431134,0.0796508483973273,"PASM"
