"quad","t1","t0","rep","cover.t0","cover.t1","obs.cover.t1"
"E2",39,38,54,0.000317884566656765,0.00187286454310458,0.00386390739481945
"E2",39,38,55,0.000317884566656765,0.00171252282635066,0.00386390739481945
"E2",39,38,56,0.000317884566656765,0.00155874803186753,0.00386390739481945
"E2",39,38,57,0.000317884566656765,0.00142158480620065,0.00386390739481945
"E2",39,38,58,0.000317884566656765,0.00155329043276414,0.00386390739481945
"E2",39,38,59,0.000317884566656765,0.00185186289927289,0.00386390739481945
"E2",39,38,60,0.000317884566656765,0.00198887393025947,0.00386390739481945
"E2",39,38,61,0.000317884566656765,0.0017776758431992,0.00386390739481945
"E2",39,38,62,0.000317884566656765,0.00149651481245214,0.00386390739481945
"E2",39,38,63,0.000317884566656765,0.00208009815867255,0.00386390739481945
"E2",39,38,64,0.000317884566656765,0.00197720853836976,0.00386390739481945
"E2",39,38,65,0.000317884566656765,0.00186553901620696,0.00386390739481945
"E2",39,38,66,0.000317884566656765,0.00181227749584127,0.00386390739481945
"E2",39,38,67,0.000317884566656765,0.00198746139797855,0.00386390739481945
"E2",39,38,68,0.000317884566656765,0.00223502535954483,0.00386390739481945
"E2",39,38,69,0.000317884566656765,0.0017483569333177,0.00386390739481945
"E2",39,38,70,0.000317884566656765,0.00191962158724883,0.00386390739481945
"E2",39,38,71,0.000317884566656765,0.00204598979155695,0.00386390739481945
"E2",39,38,72,0.000317884566656765,0.0020872864913116,0.00386390739481945
"E2",39,38,73,0.000317884566656765,0.00173248348659573,0.00386390739481945
"E2",39,38,74,0.000317884566656765,0.00191868097075278,0.00386390739481945
"E2",39,38,75,0.000317884566656765,0.00174260409888609,0.00386390739481945
"E2",39,38,76,0.000317884566656765,0.00207546444045077,0.00386390739481945
"E2",39,38,77,0.000317884566656765,0.00173668886737536,0.00386390739481945
"E2",39,38,78,0.000317884566656765,0.00154297068539543,0.00386390739481945
"E2",39,38,79,0.000317884566656765,0.00159755936727286,0.00386390739481945
"E2",39,38,80,0.000317884566656765,0.00191312797714115,0.00386390739481945
"E2",39,38,81,0.000317884566656765,0.00162614464719075,0.00386390739481945
"E2",39,38,82,0.000317884566656765,0.00166365946747909,0.00386390739481945
"E2",39,38,83,0.000317884566656765,0.00150637804105854,0.00386390739481945
"E2",39,38,84,0.000317884566656765,0.00178302641717852,0.00386390739481945
"E2",39,38,85,0.000317884566656765,0.00172216994187961,0.00386390739481945
"E2",39,38,86,0.000317884566656765,0.00165182470210637,0.00386390739481945
"E2",39,38,87,0.000317884566656765,0.00153412263106127,0.00386390739481945
"E2",39,38,88,0.000317884566656765,0.00183759995643217,0.00386390739481945
"E2",39,38,89,0.000317884566656765,0.0018731760804924,0.00386390739481945
"E2",39,38,90,0.000317884566656765,0.00153819382574689,0.00386390739481945
"E2",39,38,91,0.000317884566656765,0.00165966722418261,0.00386390739481945
"E2",39,38,92,0.000317884566656765,0.00156993361421725,0.00386390739481945
"E2",39,38,93,0.000317884566656765,0.00186724289084599,0.00386390739481945
"E2",39,38,94,0.000317884566656765,0.00227146971439869,0.00386390739481945
"E2",39,38,95,0.000317884566656765,0.00205761457464047,0.00386390739481945
"E2",39,38,96,0.000317884566656765,0.00197677902367013,0.00386390739481945
"E2",39,38,97,0.000317884566656765,0.00167484714331272,0.00386390739481945
"E2",39,38,98,0.000317884566656765,0.00164800345571929,0.00386390739481945
"E2",39,38,99,0.000317884566656765,0.00198136177620077,0.00386390739481945
"E2",39,38,100,0.000317884566656765,0.00158273861357654,0.00386390739481945
"E2",40,39,1,0.00386390739481945,0.00383651625015638,0.00349511786456806
"E2",40,39,2,0.00386390739481945,0.00524660273589657,0.00349511786456806
"E2",40,39,3,0.00386390739481945,0.0054375930341285,0.00349511786456806
"E2",40,39,4,0.00386390739481945,0.00561949277842029,0.00349511786456806
"E2",40,39,5,0.00386390739481945,0.00466061683749941,0.00349511786456806
"E2",40,39,6,0.00386390739481945,0.00595530829254453,0.00349511786456806
"E2",40,39,7,0.00386390739481945,0.00626586343663227,0.00349511786456806
"E2",40,39,8,0.00386390739481945,0.00531097901818955,0.00349511786456806
"E2",40,39,9,0.00386390739481945,0.00639158074820299,0.00349511786456806
"E2",40,39,10,0.00386390739481945,0.0053547372133097,0.00349511786456806
"E2",40,39,11,0.00386390739481945,0.00588410290023906,0.00349511786456806
"E2",40,39,12,0.00386390739481945,0.00582714622750425,0.00349511786456806
"E2",40,39,13,0.00386390739481945,0.00724534434516999,0.00349511786456806
"E2",40,39,14,0.00386390739481945,0.00658381887077489,0.00349511786456806
"E2",40,39,15,0.00386390739481945,0.00556844226214411,0.00349511786456806
"E2",40,39,16,0.00386390739481945,0.00531347255822185,0.00349511786456806
"E2",40,39,17,0.00386390739481945,0.00666782145641873,0.00349511786456806
"E2",40,39,18,0.00386390739481945,0.00590427837292181,0.00349511786456806
"E2",40,39,19,0.00386390739481945,0.00600375438985365,0.00349511786456806
"E2",40,39,20,0.00386390739481945,0.00672315227554386,0.00349511786456806
"E2",40,39,21,0.00386390739481945,0.00577458123237642,0.00349511786456806
"E2",40,39,22,0.00386390739481945,0.00483358649260014,0.00349511786456806
"E2",40,39,23,0.00386390739481945,0.00570298182507848,0.00349511786456806
"E2",40,39,24,0.00386390739481945,0.00646860251941885,0.00349511786456806
"E2",40,39,25,0.00386390739481945,0.00561436498503227,0.00349511786456806
"E2",40,39,26,0.00386390739481945,0.00451368332711272,0.00349511786456806
"E2",40,39,27,0.00386390739481945,0.0050459537298158,0.00349511786456806
"E2",40,39,28,0.00386390739481945,0.00521840070242489,0.00349511786456806
"E2",40,39,29,0.00386390739481945,0.0062110896643091,0.00349511786456806
"E2",40,39,30,0.00386390739481945,0.00545588396920828,0.00349511786456806
"E2",40,39,31,0.00386390739481945,0.00547189223146646,0.00349511786456806
"E2",40,39,32,0.00386390739481945,0.00521311359632087,0.00349511786456806
"E2",40,39,33,0.00386390739481945,0.00637955061576272,0.00349511786456806
"E2",40,39,34,0.00386390739481945,0.007324934024313,0.00349511786456806
"E2",40,39,35,0.00386390739481945,0.00728194255922435,0.00349511786456806
"E2",40,39,36,0.00386390739481945,0.00578541640913263,0.00349511786456806
"E2",40,39,37,0.00386390739481945,0.00456428675113372,0.00349511786456806
"E2",40,39,38,0.00386390739481945,0.00522219091430257,0.00349511786456806
"E2",40,39,39,0.00386390739481945,0.00626531475509854,0.00349511786456806
"E2",40,39,40,0.00386390739481945,0.00855679415832479,0.00349511786456806
"E2",40,39,41,0.00386390739481945,0.00528282184078608,0.00349511786456806
"E2",40,39,42,0.00386390739481945,0.00487436823218242,0.00349511786456806
"E2",40,39,43,0.00386390739481945,0.00867246421472506,0.00349511786456806
"E2",40,39,44,0.00386390739481945,0.00726272092260245,0.00349511786456806
"E2",40,39,45,0.00386390739481945,0.00732847264783513,0.00349511786456806
"E2",40,39,46,0.00386390739481945,0.00663621069307219,0.00349511786456806
"E2",40,39,47,0.00386390739481945,0.00559832910514929,0.00349511786456806
"E2",40,39,48,0.00386390739481945,0.00679945017180784,0.00349511786456806
"E2",40,39,49,0.00386390739481945,0.00669496829410086,0.00349511786456806
"E2",40,39,50,0.00386390739481945,0.00576902520544638,0.00349511786456806
