"quad","year","totNumber"
"Q10",38,11
"Q11",38,2
"Q12",38,1
"Q13",38,1
"Q14",38,1
"Q19",38,2
"Q2",38,3
"Q20",38,1
"Q22",38,1
"Q23",38,1
"Q3",38,3
"Q4",38,2
"Q6",38,2
"Q7",38,16
"Q8",38,4
"Q10",39,11
"Q11",39,2
"Q12",39,1
"Q13",39,1
"Q19",39,2
"Q2",39,1
"Q20",39,1
"Q22",39,1
"Q3",39,3
"Q4",39,6
"Q5",39,1
"Q6",39,1
"Q7",39,15
"Q8",39,1
"Q10",40,8
"Q11",40,1
"Q12",40,1
"Q13",40,1
"Q14",40,2
"Q19",40,11
"Q2",40,1
"Q20",40,1
"Q22",40,1
"Q23",40,1
"Q3",40,7
"Q4",40,4
"Q6",40,1
"Q7",40,16
"Q8",40,2
"Q9",40,1
"Q10",41,10
"Q11",41,3
"Q12",41,1
"Q13",41,1
"Q14",41,1
"Q19",41,5
"Q2",41,3
"Q20",41,1
"Q22",41,1
"Q23",41,1
"Q3",41,7
"Q4",41,5
"Q6",41,1
"Q7",41,14
"Q8",41,3
"Q9",41,2
"Q10",42,16
"Q11",42,4
"Q13",42,1
"Q14",42,2
"Q19",42,14
"Q2",42,6
"Q20",42,1
"Q22",42,3
"Q23",42,3
"Q25",42,52
"Q26",42,3
"Q3",42,21
"Q4",42,14
"Q5",42,14
"Q6",42,15
"Q7",42,53
"Q8",42,10
"Q9",42,7
"Q10",45,16
"Q11",45,2
"Q12",45,19
"Q13",45,3
"Q14",45,60
"Q19",45,17
"Q2",45,22
"Q20",45,11
"Q21",45,1
"Q22",45,12
"Q23",45,5
"Q25",45,2
"Q26",45,2
"Q3",45,102
"Q4",45,29
"Q6",45,1
"Q7",45,34
"Q8",45,11
"Q9",45,14
"Q1",46,1
"Q10",46,15
"Q12",46,4
"Q13",46,3
"Q14",46,26
"Q19",46,12
"Q2",46,14
"Q20",46,5
"Q22",46,9
"Q23",46,2
"Q25",46,1
"Q26",46,1
"Q3",46,93
"Q4",46,51
"Q5",46,1
"Q6",46,10
"Q7",46,50
"Q8",46,17
"Q9",46,16
"Q10",47,11
"Q12",47,7
"Q13",47,5
"Q14",47,28
"Q19",47,5
"Q2",47,23
"Q20",47,10
"Q22",47,9
"Q23",47,3
"Q26",47,2
"Q3",47,76
"Q4",47,29
"Q6",47,9
"Q7",47,45
"Q8",47,15
"Q9",47,9
"Q1",49,1
"Q10",49,8
"Q12",49,7
"Q13",49,1
"Q14",49,1
"Q19",49,9
"Q2",49,5
"Q20",49,20
"Q22",49,5
"Q23",49,4
"Q24",49,2
"Q3",49,31
"Q4",49,18
"Q5",49,3
"Q6",49,5
"Q7",49,25
"Q8",49,8
"Q9",49,8
"Q1",50,1
"Q10",50,11
"Q12",50,6
"Q14",50,3
"Q19",50,15
"Q2",50,6
"Q20",50,26
"Q21",50,4
"Q22",50,11
"Q23",50,1
"Q24",50,1
"Q25",50,4
"Q26",50,1
"Q3",50,39
"Q4",50,2
"Q6",50,12
"Q7",50,50
"Q8",50,9
"Q9",50,8
"Q1",51,3
"Q10",51,9
"Q12",51,4
"Q19",51,19
"Q2",51,9
"Q20",51,36
"Q21",51,3
"Q22",51,9
"Q23",51,1
"Q24",51,1
"Q25",51,4
"Q26",51,1
"Q3",51,13
"Q4",51,12
"Q6",51,11
"Q7",51,18
"Q8",51,7
"Q9",51,10
"Q1",52,3
"Q10",52,8
"Q12",52,2
"Q14",52,1
"Q17",52,1
"Q19",52,21
"Q2",52,7
"Q20",52,36
"Q21",52,4
"Q22",52,11
"Q23",52,1
"Q24",52,1
"Q25",52,6
"Q26",52,1
"Q3",52,5
"Q4",52,10
"Q5",52,2
"Q6",52,7
"Q7",52,18
"Q8",52,7
"Q9",52,8
"Q1",54,2
"Q10",54,7
"Q12",54,4
"Q19",54,17
"Q2",54,3
"Q20",54,39
"Q21",54,5
"Q22",54,8
"Q25",54,6
"Q26",54,3
"Q3",54,5
"Q4",54,11
"Q5",54,9
"Q6",54,10
"Q7",54,25
"Q8",54,8
"Q9",54,32
"Q1",55,1
"Q10",55,14
"Q12",55,7
"Q19",55,46
"Q2",55,6
"Q20",55,49
"Q21",55,7
"Q22",55,16
"Q24",55,1
"Q25",55,6
"Q26",55,4
"Q3",55,11
"Q5",55,3
"Q6",55,11
"Q7",55,45
"Q8",55,29
"Q9",55,56
"Q1",56,1
"Q10",56,2
"Q14",56,1
"Q16",56,1
"Q17",56,1
"Q19",56,2
"Q2",56,1
"Q20",56,28
"Q21",56,6
"Q22",56,6
"Q24",56,1
"Q25",56,6
"Q26",56,2
"Q4",56,3
"Q5",56,1
"Q6",56,1
"Q7",56,8
"Q8",56,1
"Q9",56,1
"Q10",57,3
"Q12",57,3
"Q17",57,1
"Q7",57,11
"Q8",57,2
"Q9",57,3
